v8-version,7,8,279,23,-node.46,0
code-creation,Builtin,3,8082,0x1395920,243,NonNumberToNumber
code-creation,Builtin,3,8088,0x1395a20,259,NonNumberToNumeric
code-creation,Builtin,3,8095,0x1395b40,235,ToNumber
code-creation,Builtin,3,8100,0x1395c40,272,ToNumberConvertBigInt
code-creation,Builtin,3,8107,0x1395d60,275,ToNumeric
code-creation,Builtin,3,8112,0x1395e80,261,NumberToString
code-creation,Builtin,3,8118,0x1395fa0,466,ToInteger
code-creation,Builtin,3,8150,0x1396180,478,ToInteger_TruncateMinusZero
code-creation,Builtin,3,8159,0x1396360,394,ToLength
code-creation,Builtin,3,8164,0x1396500,140,Typeof
code-creation,Builtin,3,8170,0x13965a0,69,GetSuperConstructor
code-creation,Builtin,3,8176,0x1396600,133,BigIntToI64
code-creation,Builtin,3,8182,0x13966a0,12,BigIntToI32Pair
code-creation,Builtin,3,8198,0x13966c0,285,I64ToBigInt
code-creation,Builtin,3,8204,0x13967e0,12,I32PairToBigInt
code-creation,Builtin,3,8210,0x1396800,112,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,8217,0x1396880,2585,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,8223,0x13972a0,36,KeyedLoadIC_Slow
code-creation,Builtin,3,8229,0x13972e0,16522,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,8234,0x139b380,40,KeyedStoreIC_Slow
code-creation,Builtin,3,8240,0x139b3c0,40,LoadGlobalIC_Slow
code-creation,Builtin,3,8245,0x139b400,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,8250,0x139b460,36,LoadIC_Slow
code-creation,Builtin,3,8255,0x139b4a0,20,LoadIC_StringLength
code-creation,Builtin,3,8261,0x139b4c0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,8267,0x139b4e0,2940,LoadIC_NoFeedback
code-creation,Builtin,3,8272,0x139c060,40,StoreGlobalIC_Slow
code-creation,Builtin,3,8277,0x139c0a0,6704,StoreIC_NoFeedback
code-creation,Builtin,3,8282,0x139dae0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,8288,0x139db20,368,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,8293,0x139dca0,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,8299,0x139dd00,40,StoreInterceptorIC
code-creation,Builtin,3,8304,0x139dd40,536,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,8310,0x139df60,536,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,8317,0x139e180,536,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,8323,0x139e3a0,536,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,8329,0x139e5c0,40,StoreInArrayLiteralIC_Slow_Standard
code-creation,Builtin,3,8335,0x139e600,5784,StoreFastElementIC_Standard
code-creation,Builtin,3,8343,0x139fca0,6716,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,8354,0x13a16e0,5776,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,8368,0x13a2d80,3220,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,8377,0x13a3a20,40,StoreInArrayLiteralIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,10471,0x13a3a60,40,StoreInArrayLiteralIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,10498,0x13a3aa0,40,StoreInArrayLiteralIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,10509,0x13a3ae0,40,KeyedStoreIC_Slow_Standard
code-creation,Builtin,3,10521,0x13a3b20,40,KeyedStoreIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,10535,0x13a3b60,40,KeyedStoreIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,10549,0x13a3ba0,40,KeyedStoreIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,10558,0x13a3be0,9184,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,10566,0x13a5fe0,18756,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,10575,0x13aa940,9184,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,10654,0x13acd40,12032,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,12819,0x13afc60,764,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,12936,0x13aff60,328,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,12959,0x13b00c0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,12969,0x13b0120,36,HasIC_Slow
code-creation,Builtin,3,12980,0x13b0160,181,EnqueueMicrotask
code-creation,Builtin,3,12992,0x13b0220,8,RunMicrotasksTrampoline
code-creation,Builtin,3,13002,0x13b0240,2292,RunMicrotasks
code-creation,Builtin,3,13013,0x13b0b40,2182,HasProperty
code-creation,Builtin,3,13019,0x13b13e0,1364,DeleteProperty
code-creation,Builtin,3,13028,0x13b1940,1912,CopyDataProperties
tick,0x7f431fc61a8a,13191,0,0x0,6
tick,0x7f431f007a22,13222,0,0x0,6
tick,0x7f431f098257,13232,0,0x0,6
code-creation,Builtin,3,13330,0x13b20c0,8607,SetDataProperties
code-creation,Builtin,3,13342,0x13b4260,36,Abort
code-creation,Builtin,3,13346,0x13b42a0,36,AbortCSAAssert
code-creation,Builtin,3,13349,0x13b42e0,12,EmptyFunction
code-creation,Builtin,3,13353,0x13b4300,12,Illegal
code-creation,Builtin,3,13357,0x13b4320,12,StrictPoisonPillThrower
